area_type,availability,size,society,total_sqft,bath,balcony,price,site_location,crime_rate,essential_services_nearby
Super built-up  Area,18-Aug,3 BHK,Vrenty ,1322,2.0,2.0,58.82,Mangalwar peth,0.3445779705800748,hospital
Plot  Area,Ready To Move,2 Bedroom,,432,2.0,1.0,40.0,Manik Bagh,0.013311598469442187,school
Built-up  Area,Ready To Move,2 BHK,,1100,2.0,2.0,55.0,Market yard,0.770919233444439,hospital
Super built-up  Area,Ready To Move,4 BHK,,4750,5.0,,600.0,Model colony,0.8504781258888939,school
Built-up  Area,Ready To Move,3 BHK,Ahownve,1285,2.0,2.0,68.0,Mukund Nagar,0.1420884902133832,hospital
Built-up  Area,Ready To Move,2 BHK,SJodsed,1150,2.0,2.0,80.0,Mundhawa,0.4679564227912274,hospital
Super built-up  Area,Ready To Move,3 BHK,MenueNo,1430,2.0,2.0,56.0,Nagar Road,0.11995183741936599,petrol_pumps
Super built-up  Area,Ready To Move,3 BHK,,1350,2.0,2.0,62.0,Nana Peth,0.8472180507781992,petrol_pumps
Plot  Area,Ready To Move,3 Bedroom,,1350,3.0,3.0,195.0,Narayan Peth,0.29957653551354324,school
Built-up  Area,Ready To Move,2 BHK,Kenia G,1185,2.0,2.0,65.0,Narayangaon,0.8710709330715097,school
Super built-up  Area,Ready To Move,3 BHK,Leate O,1760,3.0,2.0,67.0,Navi Peth,0.5429437259615623,petrol_pumps
Plot  Area,Ready To Move,4 Bedroom,,2400,5.0,2.0,350.0,Padmavati,0.8073115697138057,hospital
Super built-up  Area,21-Dec,2 BHK,,900,2.0,1.0,41.0,Parvati Darshan,0.05453951389307843,hospital
Super built-up  Area,19-Jul,2 BHK,Soazak ,1297,2.0,1.0,105.0,Pashan,0.5442703594186231,hospital
Super built-up  Area,Ready To Move,3 BHK,SodilDa,1840,3.0,2.0,155.0,Paud Road,0.5951961834617014,school
Built-up  Area,Ready To Move,2 BHK,,950,2.0,1.0,50.79,Pirangut,0.3275350201029361,school
Plot  Area,Ready To Move,5 Bedroom,,1200,4.0,1.0,70.0,Prabhat Road,0.44692319140765335,hospital
Carpet  Area,Ready To Move,2 BHK,Jancyva,950,2.0,1.0,52.0,Pune Railway Station,0.5110963518864864,petrol_pumps
Super built-up  Area,Ready To Move,2 BHK,Prthand,1250 - 1305,2.0,0.0,95.815,Rasta Peth,0.2743646905752014,petrol_pumps
Super built-up  Area,18-Jan,3 BHK,Prarkun,1571,3.0,2.0,89.0,Raviwar Peth,0.8293007169255523,hospital
Super built-up  Area,Ready To Move,2 BHK,Brods W,1031,2.0,1.0,55.0,Sadashiv Peth,0.742021205437283,petrol_pumps
Super built-up  Area,19-Dec,2 BHK,Goted U,1485,2.0,1.0,90.0,Sahakar Nagar,0.0345381816248993,petrol_pumps
Super built-up  Area,18-Dec,2 BHK,Marnara,1109,2.0,1.0,60.0,Salunke Vihar,0.7724700282679696,hospital
Super built-up  Area,Ready To Move,3 BHK,,2200,3.0,2.0,180.0,Sasson Road,0.8095327643548037,petrol_pumps
Super built-up  Area,18-Apr,1 BHK,Prtates,950,1.0,1.0,50.0,Satara Road,0.2719009882488903,school
Plot  Area,Ready To Move,3 Bedroom,,1200,2.0,0.0,150.0,Senapati Bapat Road,0.5619757334756541,school
Super built-up  Area,18-Jul,2 BHK,Mahesr ,1161,2.0,1.0,55.15,Shaniwar Peth,0.5585271378257246,school
Super built-up  Area,Ready To Move,3 BHK,,2350,3.0,3.0,300.0,Shivaji Nagar,0.2634171206166469,petrol_pumps
Super built-up  Area,18-Apr,2 BHK,MJtroty,1003,2.0,1.0,40.6,Shukrawar Peth,0.47491504182919286,school
Plot  Area,Ready To Move,2 Bedroom,,1350,2.0,1.0,185.0,Sinhagad Road,0.3365852908377085,petrol_pumps
Super built-up  Area,18-Jun,2 BHK,,1080,2.0,2.0,37.0,Somwar Peth,0.4286213982596414,petrol_pumps
Super built-up  Area,Ready To Move,2 BHK,RatosAr,1255,2.0,2.0,73.0,Swargate,0.9876383728206626,hospital
Super built-up  Area,Ready To Move,2 BHK,,1250,2.0,0.0,60.0,Tilak Road,0.9424006335672159,school
Plot  Area,Ready To Move,4 Bedroom,,1700,4.0,1.0,152.0,Uruli Devachi,0.1491878307031531,school
Plot  Area,Ready To Move,3 Bedroom,,1200,2.0,0.0,66.0,Vadgaon Budruk,0.6138043032407141,hospital
Built-up  Area,Ready To Move,2 BHK,,824,2.0,0.0,60.0,Wadgaon Sheri,0.8045599219288826,hospital
Super built-up  Area,Ready To Move,3 BHK,Prhtsok,1875,3.0,1.0,167.0,Viman Nagar,0.7293019278586317,school
Built-up  Area,18-Aug,3 BHK,,1320,2.0,1.0,38.12,Vishrant Wadi,0.10069666757223916,hospital
Plot  Area,Ready To Move,5 Bedroom,,9600,5.0,2.0,550.0,Wagholi,0.1419663295972179,petrol_pumps
Super built-up  Area,Ready To Move,3 BHK,Aklia R,1330,2.0,1.0,47.0,Wakadewadi,0.9428971254625689,school
Super built-up  Area,Ready To Move,3 BHK,,1220,3.0,2.0,56.0,Wanowrie,0.7276045517769675,hospital
Super built-up  Area,18-Dec,3 BHK,,1111,3.0,1.0,50.0,Warje,0.7877702273414781,hospital
Super built-up  Area,Ready To Move,2 BHK,,1197,2.0,1.0,47.88,Yerawada,0.8831424098133575,petrol_pumps
Super built-up  Area,Ready To Move,4 BHK,Prionad,2519,5.0,2.0,185.0,Alandi Road,0.6299441166762146,petrol_pumps
Super built-up  Area,18-Aug,3 BHK,,1340,2.0,1.0,100.0,Ambegaon Budruk,0.4011726312325157,petrol_pumps
Plot  Area,Ready To Move,4 Bedroom,Feowsdi,1450,3.0,3.0,132.0,Anandnagar,0.8708517249754667,hospital
Super built-up  Area,22-Jun,3 BHK,GoAirej,1837,3.0,3.0,145.0,Aundh,0.22146410002668082,petrol_pumps
Plot  Area,Ready To Move,4 Bedroom,,1200,4.0,,245.0,Aundh Road,0.9571593227789826,hospital
Super built-up  Area,Ready To Move,2 BHK,ACiteda,1238,2.0,3.0,55.0,Balaji Nagar,0.3596820098418262,school
Super built-up  Area,Ready To Move,3 BHK,Vasta C,1405,2.0,2.0,59.01,Baner,0.5179181404793289,hospital
Super built-up  Area,Ready To Move,4 BHK,,1690,3.0,2.0,80.0,Baner road,0.034521627319167525,hospital
Built-up  Area,Ready To Move,3 BHK,,1620,2.0,1.0,110.0,Bhandarkar Road,0.0837626046695209,hospital
Super built-up  Area,Ready To Move,3 BHK,PuandHi,1673,3.0,2.0,115.0,Bhavani Peth,0.12445320222755485,hospital
Plot  Area,Ready To Move,2 Bedroom,,1090,2.0,0.0,58.0,Bibvewadi,0.3900486086683015,petrol_pumps
Super built-up  Area,Ready To Move,2 BHK,DSingSt,1112,2.0,2.0,40.0,Bopodi,0.576164117697178,school
Super built-up  Area,Ready To Move,3 BHK,,1385,2.0,2.0,66.65,Budhwar Peth,0.7118146511831123,hospital
Super built-up  Area,Ready To Move,2 BHK,Assha A,545,1.0,1.0,27.0,Bund Garden Road,0.5345388173228518,school
Super built-up  Area,Ready To Move,2 BHK,Mayne A,985,2.0,1.0,58.0,Camp,0.13374498152365255,hospital
Super built-up  Area,20-Dec,1 BHK,GolusLi,670 - 980,1.0,0.0,36.29,Chandan Nagar,0.2960934890911766,hospital
Super built-up  Area,Ready To Move,2 BHK,,1080,2.0,1.0,37.8,Dapodi,0.25300380296963443,hospital
Super built-up  Area,19-Mar,2 BHK,Sosisic,1430,2.0,1.0,97.52,Deccan Gymkhana,0.31064002803533397,school
Super built-up  Area,Ready To Move,2 BHK,Malowr ,1050,2.0,2.0,43.0,Dehu Road,0.3892351788771793,petrol_pumps
Plot  Area,Ready To Move,4 Bedroom,,2000,4.0,1.0,139.0,Dhankawadi,0.8917851234425489,petrol_pumps
Built-up  Area,Ready To Move,4 Bedroom,,4800,4.0,3.0,190.0,Dhayari Phata,0.6691846223528398,petrol_pumps
Built-up  Area,Ready To Move,3 BHK,Arnorya,1533,3.0,2.0,115.0,Dhole Patil Road,0.9382395212191975,petrol_pumps
Plot  Area,Ready To Move,4 Bedroom,,2800,3.0,2.0,500.0,Erandwane,0.7265063048281076,school
Super built-up  Area,Ready To Move,3 BHK,Vaonyi ,2610,3.0,,399.0,Fatima Nagar,0.7672663600218887,school
Super built-up  Area,Ready To Move,3 BHK,RothaVa,1750,3.0,2.0,150.0,Fergusson College Road,0.3637772062514708,school
Plot  Area,Ready To Move,3 Bedroom,,1200,2.0,0.0,66.0,Ganesh Peth,0.2051124331946369,school
Super built-up  Area,Ready To Move,2 BHK,Prlmsge,1352,2.0,2.0,87.5,Ganeshkhind,0.40447331404862985,petrol_pumps
Super built-up  Area,Ready To Move,3 BHK,SosicCl,1754,3.0,2.0,125.0,Ghorpade Peth,0.48361735936295225,school
Built-up  Area,Ready To Move,3 BHK,Paion P,1560,3.0,2.0,85.0,Ghorpadi,0.5298459092966518,hospital
Super built-up  Area,18-Jul,4 BHK,Mamespa,3012,6.0,2.0,268.0,Gokhale Nagar,0.5974539698703675,school
Super built-up  Area,Ready To Move,4 BHK,,3584,4.0,,199.0,Gultekdi,0.9593475552389144,hospital
Super built-up  Area,Ready To Move,3 BHK,Pritehi,1470,2.0,1.0,90.0,Guruwar peth,0.9785389682313937,school
Built-up  Area,Ready To Move,2 BHK,NaensGa,1035,2.0,1.0,45.0,Hadapsar,0.855462981845906,hospital
Plot  Area,Ready To Move,4 Bedroom,PrOakSi,2400,5.0,,329.0,Hadapsar Industrial Estate,0.789366632109631,school
Built-up  Area,Ready To Move,2 BHK,,1160,2.0,1.0,52.0,Hingne Khurd,0.6883615160066091,petrol_pumps
Super built-up  Area,Ready To Move,2 BHK,Elidet ,1100,2.0,2.0,52.0,Jangali Maharaj Road,0.6363379005230972,school
Super built-up  Area,Ready To Move,2 BHK,,1170,2.0,,38.0,Kalyani Nagar,0.7557988524990227,hospital
Super built-up  Area,19-Dec,1 BHK,Hiatei ,595,1.0,1.0,31.83,Karve Nagar,0.6831814187204583,petrol_pumps
Super built-up  Area,Ready To Move,3 BHK,Brstark,1650,3.0,2.0,110.0,Karve Road,0.9868477043329598,petrol_pumps
Super built-up  Area,Ready To Move,3 BHK,,1875,2.0,3.0,235.0,Kasba Peth,0.3907284446285151,hospital
Super built-up  Area,Ready To Move,4 BHK,,800,4.0,1.0,80.0,Katraj,0.46038539526500055,hospital
Super built-up  Area,Ready To Move,3 BHK,,1375,2.0,3.0,48.06,Khadaki,0.8259537816483512,hospital
Super built-up  Area,18-Jun,2 BHK,ViistLa,1235,2.0,1.0,46.8,Khadki,0.7072998146604877,petrol_pumps
Super built-up  Area,Ready To Move,1 BHK,,750,1.0,2.0,25.0,Kharadi,0.35331042051991424,petrol_pumps
Built-up  Area,Ready To Move,3 BHK,Eladero,1400,3.0,1.0,115.0,Kondhwa,0.5606211360950394,petrol_pumps
Super built-up  Area,Ready To Move,3 BHK,,1270,2.0,2.0,50.79,Kondhwa Budruk,0.5564031262646902,school
Super built-up  Area,18-Dec,2 BHK,,1105,2.0,1.0,51.0,Kondhwa Khurd,0.31088018478791446,petrol_pumps
Super built-up  Area,Ready To Move,3 BHK,NeendLe,1375,2.0,3.0,85.0,Koregaon Park,0.966401568541585,hospital
Plot  Area,Ready To Move,4 Bedroom,,2168,4.0,2.0,95.0,Kothrud,0.8764049199325638,hospital
Built-up  Area,Ready To Move,8 Bedroom,,1200,8.0,3.0,90.0,Law College Road,0.6930280372079468,school
Super built-up  Area,Ready To Move,2 BHK,Ulure S,1065,2.0,1.0,40.84,Laxmi Road,0.7719254168596975,school
Plot  Area,Ready To Move,3 Bedroom,,3800,3.0,0.0,580.0,Lulla Nagar,0.17374094530526396,school
Plot  Area,Ready To Move,9 Bedroom,,3125,9.0,,350.0,Mahatma Gandhi Road,0.1094266719334066,hospital
Super built-up  Area,Ready To Move,1 BHK,UKe 2nz,825,1.0,1.0,45.0,Mangalwar peth,0.5924865390598808,petrol_pumps
Built-up  Area,Ready To Move,2 BHK,,1095,2.0,0.0,40.0,Manik Bagh,0.6308336283014168,petrol_pumps
Plot  Area,Ready To Move,3 Bedroom,,720,3.0,3.0,65.0,Market yard,0.46187483729505174,school
Super built-up  Area,18-Jul,3 BHK,Plowsri,1440,2.0,2.0,60.33,Model colony,0.15246797744358687,petrol_pumps
Super built-up  Area,Ready To Move,2 BHK,GMown E,870,2.0,1.0,39.5,Mukund Nagar,0.017832718302676853,hospital
Super built-up  Area,Ready To Move,2 BHK,Prcesvy,1195,2.0,1.0,84.0,Mundhawa,0.4835205461382581,petrol_pumps
Super built-up  Area,Ready To Move,2 BHK,,1200,2.0,1.0,49.5,Nagar Road,0.43487872500310654,school
Super built-up  Area,Ready To Move,3 BHK,Lancy R,1530,3.0,3.0,61.2,Nana Peth,0.6942987496200365,hospital
Super built-up  Area,17-Oct,3 BHK,,1708,2.0,1.0,90.5,Narayan Peth,0.5052976762618135,school
Super built-up  Area,Ready To Move,2 BHK,Saeina ,975,2.0,1.0,43.0,Narayangaon,0.29124854437571945,school
Built-up  Area,Ready To Move,2 BHK,,750,2.0,1.0,25.0,Navi Peth,0.6911410628058741,school
Plot  Area,Ready To Move,8 Bedroom,,1200,8.0,2.0,190.0,Padmavati,0.16688435869004903,petrol_pumps
Super built-up  Area,18-Dec,3 BHK,DNionfl,1920,3.0,2.0,130.0,Parvati Darshan,0.8346163012141102,school
Plot  Area,Ready To Move,6 Bedroom,,1200,5.0,2.0,240.0,Pashan,0.12738382228928746,petrol_pumps
Super built-up  Area,21-Dec,2 BHK,Bhe 2ko,1183,2.0,1.0,58.56,Paud Road,0.9452057619198285,hospital
Plot  Area,Ready To Move,4 Bedroom,,1140,4.0,1.0,90.0,Pirangut,0.18533142973305505,school
Super built-up  Area,Ready To Move,3 BHK,Inasy E,1550,2.0,2.0,65.0,Prabhat Road,0.4221239635081857,school
Super built-up  Area,Ready To Move,2 BHK,Frides ,1110,2.0,3.0,53.0,Pune Railway Station,0.943145897226846,hospital
Plot  Area,Ready To Move,8 Bedroom,,1500,10.0,3.0,165.0,Rasta Peth,0.13068409772403133,petrol_pumps
Super built-up  Area,Ready To Move,2 BHK,SLireap,1105,2.0,1.0,38.67,Raviwar Peth,0.47018487829300604,school
Plot  Area,Ready To Move,3 Bedroom,,1800,3.0,2.0,68.0,Sadashiv Peth,0.6554826530661633,school
Super built-up  Area,Ready To Move,5 BHK,,2800,4.0,2.0,200.0,Sahakar Nagar,0.14276009052742367,hospital
Super built-up  Area,18-Jul,2 BHK,,1000,2.0,2.0,29.9,Salunke Vihar,0.0747553289601407,school
Built-up  Area,Ready To Move,2 BHK,,1190,2.0,2.0,68.0,Sasson Road,0.06583125770721132,school
Plot  Area,Ready To Move,4 Bedroom,,1350,4.0,1.0,200.0,Satara Road,0.2999796108416525,petrol_pumps
Super built-up  Area,19-Oct,4 BHK,SNontle,3067,4.0,2.0,230.0,Senapati Bapat Road,0.4642170514521633,hospital
Super built-up  Area,18-May,3 BHK,PualeSk,1929,4.0,1.0,103.0,Shaniwar Peth,0.9607947725167576,petrol_pumps
Built-up  Area,Ready To Move,3 BHK,SVyam N,1525,3.0,1.0,100.0,Shivaji Nagar,0.8848239349503324,hospital
Super built-up  Area,Ready To Move,3 BHK,Ceste C,1775,3.0,3.0,110.0,Shukrawar Peth,0.6382742710251029,petrol_pumps
Built-up  Area,Ready To Move,2 BHK,Koestpt,1125,2.0,1.0,63.0,Sinhagad Road,0.13435156045719232,school
Super built-up  Area,Ready To Move,2 BHK,,900,2.0,2.0,42.0,Somwar Peth,0.5225282702331706,school
Super built-up  Area,18-Mar,2 BHK,,1155,2.0,1.0,58.0,Swargate,0.3655385622821432,hospital
Built-up  Area,Ready To Move,4 Bedroom,,1200,4.0,0.0,75.0,Tilak Road,0.027472658499689717,hospital
Super built-up  Area,Ready To Move,2 BHK,Skacak ,1268,2.0,1.0,73.0,Uruli Devachi,0.4247121891913149,school
Built-up  Area,Ready To Move,3 BHK,SVstos ,1500,3.0,2.0,88.0,Vadgaon Budruk,0.43351793707372377,school
Super built-up  Area,18-Jan,1 BHK,Prarkun,630,1.0,1.0,47.0,Wadgaon Sheri,0.7826610753061033,petrol_pumps
Super built-up  Area,Ready To Move,3 BHK,Paoliy ,1525,3.0,2.0,65.0,Viman Nagar,0.6084397594533023,hospital
Super built-up  Area,Ready To Move,2 BHK,Mebhaee,1060,2.0,2.0,48.0,Vishrant Wadi,0.2838723253775265,school
Super built-up  Area,Ready To Move,3 BHK,Soiewre,1687,3.0,3.0,127.0,Wagholi,0.7686247879840411,school
Super built-up  Area,Ready To Move,3 BHK,Soitya ,1847,3.0,2.0,123.0,Wakadewadi,0.9300603333306011,school
Super built-up  Area,Ready To Move,3 BHK,Dhalsh ,1410,2.0,3.0,53.0,Wanowrie,0.6265798069090971,hospital
Super built-up  Area,Ready To Move,2 BHK,SrncyRe,1075,2.0,1.0,42.99,Warje,0.2522371154481807,petrol_pumps
Super built-up  Area,Ready To Move,4 BHK,PhestOn,3526,4.0,,492.0,Yerawada,0.4175667814097569,hospital
Built-up  Area,Ready To Move,3 Bedroom,,3000,3.0,0.0,338.0,Alandi Road,0.995127529514156,hospital
Built-up  Area,18-Apr,3 BHK,,1500,2.0,1.0,143.0,Ambegaon Budruk,0.2199134761389855,hospital
Built-up  Area,Ready To Move,2 BHK,Sioma A,1010,2.0,2.0,46.0,Anandnagar,0.7161107616963736,school
Super built-up  Area,18-Jul,3 BHK,SNnia E,1875,3.0,3.0,110.0,Aundh,0.10276812898765142,petrol_pumps
Plot  Area,Ready To Move,5 Bedroom,,1200,6.0,,137.0,Aundh Road,0.7228167991801522,school
Super built-up  Area,20-Dec,2 BHK,GolusLi,983,2.0,1.0,50.6,Balaji Nagar,0.10005519037614907,petrol_pumps
Super built-up  Area,Ready To Move,2 BHK,,1101,2.0,2.0,65.0,Baner,0.9710442479397253,petrol_pumps
Super built-up  Area,Ready To Move,2 BHK,DubowRa,1140,2.0,1.0,76.0,Baner road,0.42880985020944695,hospital
Super built-up  Area,Ready To Move,2 BHK,Adeatlm,1215,2.0,2.0,110.0,Bhandarkar Road,0.9275710633477288,school
Super built-up  Area,Ready To Move,2 BHK,,1007,2.0,3.0,42.0,Bhavani Peth,0.4486807130293259,hospital
Super built-up  Area,Ready To Move,3 BHK,SoderLa,2039,3.0,2.0,168.0,Bibvewadi,0.6980060684116405,petrol_pumps
Built-up  Area,Ready To Move,3 BHK,,1020,3.0,2.0,110.0,Bopodi,0.09018374283215203,hospital
Super built-up  Area,Ready To Move,2 BHK,,1198,2.0,1.0,84.0,Budhwar Peth,0.15503829955072979,petrol_pumps
Built-up  Area,Ready To Move,4 BHK,,4000,4.0,1.0,520.0,Bund Garden Road,0.9136965772253217,school
Plot  Area,Ready To Move,4 Bedroom,,1470,4.0,2.0,34.5,Camp,0.4625645441973619,school
Built-up  Area,Ready To Move,2 BHK,,1370,2.0,2.0,75.0,Chandan Nagar,0.6749026861611692,hospital
Super built-up  Area,Ready To Move,2 BHK,,1316,2.0,3.0,55.5,Dapodi,0.6624744229236094,petrol_pumps
Super built-up  Area,Ready To Move,3 BHK,Foity S,1350,3.0,1.0,55.5,Deccan Gymkhana,0.70160117444852,hospital
Super built-up  Area,18-May,2 BHK,,1050,2.0,1.0,43.0,Dehu Road,0.4659292028221098,hospital
Carpet  Area,Ready To Move,3 BHK,Jahidva,1005.03 - 1252.49,3.0,0.0,47.405,Dhankawadi,0.9483560178040602,hospital
Super built-up  Area,Ready To Move,2 BHK,PrwarSa,921,2.0,1.0,34.0,Dhayari Phata,0.9052017287723582,petrol_pumps
Super built-up  Area,Ready To Move,2 BHK,Rasom B,1010,2.0,1.0,49.27,Dhole Patil Road,0.33473567552549677,school
Super built-up  Area,18-Jun,2 BHK,MCnexva,1015,2.0,1.0,43.0,Erandwane,0.7350940016010375,hospital
Plot  Area,Ready To Move,3 Bedroom,,1200,2.0,0.0,66.5,Fatima Nagar,0.8174628312048297,hospital
Built-up  Area,Ready To Move,2 BHK,RothaVa,1179,2.0,1.0,75.0,Fergusson College Road,0.31178161299706,petrol_pumps
Built-up  Area,Ready To Move,4 BHK,,1850,4.0,2.0,86.0,Ganesh Peth,0.5026242027056459,hospital
Super built-up  Area,Ready To Move,2 BHK,Prarkhi,870,2.0,1.0,24.0,Ganeshkhind,0.10032738008254183,hospital
Super built-up  Area,Ready To Move,3 BHK,,1605,3.0,2.0,85.0,Ghorpade Peth,0.769959588702393,school
Plot  Area,Ready To Move,4 Bedroom,,2800,4.0,2.0,89.0,Ghorpadi,0.8546367674563058,school
Super built-up  Area,Ready To Move,3 BHK,Sariaat,2475,4.0,3.0,320.0,Gokhale Nagar,0.9226075541553573,petrol_pumps
Plot  Area,Ready To Move,2 Bedroom,,3000,2.0,0.0,510.0,Gultekdi,0.8258969445783678,school
Plot  Area,Ready To Move,6 Bedroom,,2400,7.0,2.0,110.0,Guruwar peth,0.794422795449549,petrol_pumps
Super built-up  Area,Ready To Move,2 BHK,Gintsar,1000,1.0,1.0,55.0,Hadapsar,0.15767746345506095,petrol_pumps
Plot  Area,Ready To Move,2 Bedroom,,1200,2.0,0.0,80.0,Hadapsar Industrial Estate,0.5022177012885066,petrol_pumps
Plot  Area,Ready To Move,2 Bedroom,,1200,2.0,2.0,125.0,Hingne Khurd,0.9578681832682532,school
Plot  Area,18-May,2 Bedroom,Daden G,1200,2.0,1.0,66.0,Jangali Maharaj Road,0.6247475887514624,petrol_pumps
Built-up  Area,Ready To Move,2 BHK,,1200,2.0,2.0,50.0,Kalyani Nagar,0.8990410481578031,petrol_pumps
Super built-up  Area,Ready To Move,2 BHK,Shateor,1255,2.0,1.0,57.5,Karve Nagar,0.5211803820948469,hospital
Super built-up  Area,Ready To Move,2 BHK,Collsrn,1085,2.0,2.0,30.38,Karve Road,0.6704935607037075,school
Super built-up  Area,19-Jul,3 BHK,Soazak ,1592,3.0,,125.0,Kasba Peth,0.12926190316579156,hospital
Super built-up  Area,18-Nov,2 BHK,,1313,2.0,1.0,58.27,Katraj,0.8387403121979512,hospital
Super built-up  Area,21-May,3 BHK,Sourtal,1934,3.0,2.0,150.0,Khadaki,0.7137735164766336,petrol_pumps
Super built-up  Area,Ready To Move,2 BHK,Sancyi ,1200,2.0,1.0,49.5,Khadki,0.10125358839040921,school
Super built-up  Area,Ready To Move,6 BHK,PoetyHo,3600,6.0,2.0,120.0,Kharadi,0.6505014530803572,petrol_pumps
Super built-up  Area,19-Dec,2 BHK,SheldGr,935,2.0,1.0,45.0,Kondhwa,0.15987997120443154,school
Built-up  Area,Ready To Move,2 BHK,Vaodspe,877,2.0,2.0,30.0,Kondhwa Budruk,0.7748389546739993,school
Super built-up  Area,Ready To Move,2 BHK,GMentAp,936,2.0,2.0,42.0,Kondhwa Khurd,0.9347695180385036,petrol_pumps
Super built-up  Area,Ready To Move,3 BHK,,1470,2.0,2.0,110.0,Koregaon Park,0.4129215122828672,petrol_pumps
Built-up  Area,Ready To Move,1 Bedroom,,1050,1.0,1.0,70.0,Kothrud,0.4747328382925866,petrol_pumps
Super built-up  Area,19-Mar,2 BHK,Puachal,1232,2.0,0.0,69.61,Law College Road,0.9195914574509909,hospital
Super built-up  Area,Ready To Move,3 BHK,SoechHa,2225,4.0,2.0,169.0,Laxmi Road,0.6899712535159415,school
Plot  Area,Ready To Move,3 Bedroom,,1200,2.0,0.0,80.0,Lulla Nagar,0.32002123458811504,petrol_pumps
Super built-up  Area,Ready To Move,3 BHK,Sooneoo,1901,3.0,2.0,119.0,Mahatma Gandhi Road,0.3196287332219303,hospital
Super built-up  Area,18-Dec,3 BHK,Klark L,1819,3.0,2.0,100.0,Mangalwar peth,0.30747421578066736,school
Super built-up  Area,Ready To Move,3 BHK,,1464,3.0,2.0,56.0,Manik Bagh,0.7318305364323268,petrol_pumps
Plot  Area,Immediate Possession,,,2400,,,460.0,Market yard,0.9392005449379537,school
Super built-up  Area,Ready To Move,4 BHK,Brica E,3630 - 3800,6.0,0.0,200.5,Model colony,0.22352524904078208,school
Built-up  Area,Ready To Move,4 BHK,ImiteEl,5000,4.0,3.0,290.0,Mukund Nagar,0.7442408084718168,hospital
Super built-up  Area,Ready To Move,4 BHK,,1200,4.0,3.0,169.0,Mundhawa,0.26046544400486615,petrol_pumps
Super built-up  Area,Ready To Move,2 BHK,,1256,2.0,1.0,60.0,Nagar Road,0.7983243751450332,school
Super built-up  Area,Ready To Move,2 BHK,,1100,2.0,2.0,44.0,Nana Peth,0.9342367045660669,hospital
Plot  Area,Ready To Move,4 Bedroom,,4800,3.0,3.0,302.0,Narayan Peth,0.5067139613335288,petrol_pumps
Super built-up  Area,Ready To Move,3 BHK,,1435,3.0,3.0,70.0,Narayangaon,0.7681400697158068,petrol_pumps
Super built-up  Area,Ready To Move,4 BHK,,3245,4.0,,250.0,Navi Peth,0.2207351751236344,school
Super built-up  Area,Ready To Move,3 BHK,Ceiti I,1845,4.0,1.0,110.0,Padmavati,0.9768097512907964,school
Plot  Area,Ready To Move,3 Bedroom,,2400,4.0,1.0,130.0,Parvati Darshan,0.596470740235441,hospital
Super built-up  Area,Ready To Move,2 BHK,NRosete,1140,2.0,2.0,46.0,Pashan,0.06342801611475446,hospital
Super built-up  Area,18-Feb,2 BHK,,1200,2.0,0.0,60.0,Paud Road,0.7294452772769118,hospital
Super built-up  Area,18-Aug,3 BHK,Sodgere,2254,3.0,2.0,170.0,Pirangut,0.6119775958539079,school
Super built-up  Area,Ready To Move,3 BHK,Asareur,1750,3.0,2.0,150.0,Prabhat Road,0.05870679629218378,school
Built-up  Area,Ready To Move,2 BHK,Caiseha,1020,2.0,1.0,37.0,Pune Railway Station,0.5395001430846816,hospital
Built-up  Area,Ready To Move,1 BHK,,515,1.0,1.0,25.0,Rasta Peth,0.13630012367810396,school
Super built-up  Area,Ready To Move,3 BHK,Soiewre,1893,3.0,2.0,140.0,Raviwar Peth,0.704928071913172,hospital
Super built-up  Area,Ready To Move,3 BHK,Pricae ,3025,3.0,0.0,500.0,Sadashiv Peth,0.7664875425042857,petrol_pumps
Built-up  Area,Ready To Move,2 BHK,,830,2.0,0.0,34.0,Sahakar Nagar,0.3623955110325451,hospital
Built-up  Area,Ready To Move,2 Bedroom,,600,2.0,1.0,36.5,Salunke Vihar,0.8306141896953219,petrol_pumps
Super built-up  Area,Ready To Move,3 BHK,Prityel,1075,2.0,1.0,90.0,Sasson Road,0.5990302070185896,hospital
Plot  Area,Ready To Move,4 Bedroom,,3200,4.0,2.0,1200.0,Satara Road,0.345786072673154,hospital
Super built-up  Area,Ready To Move,2 BHK,HMonymp,1200,2.0,1.0,78.0,Senapati Bapat Road,0.05084000079623907,petrol_pumps
Super built-up  Area,19-Oct,2 BHK,Brareio,1233,2.0,2.0,77.65,Shaniwar Peth,0.6603204727982424,petrol_pumps
Super built-up  Area,Ready To Move,2 BHK,SNity S,1255,2.0,2.0,65.26,Shivaji Nagar,0.564525555339803,hospital
Super built-up  Area,Ready To Move,2 BHK,,1200,2.0,2.0,37.8,Shukrawar Peth,0.016545354104384735,petrol_pumps
Super built-up  Area,Ready To Move,3 BHK,,2145,3.0,2.0,175.0,Sinhagad Road,0.4706524929613447,hospital
Built-up  Area,Ready To Move,5 Bedroom,,1500,5.0,,85.0,Somwar Peth,0.6208798581592473,hospital
Built-up  Area,Ready To Move,2 BHK,,740,2.0,1.0,34.0,Swargate,0.3667143084405995,school
Super built-up  Area,Ready To Move,3 BHK,,1250,3.0,3.0,48.0,Tilak Road,0.12353564415433416,school
Super built-up  Area,Ready To Move,2 BHK,,1210,2.0,2.0,40.0,Uruli Devachi,0.4976056062812453,school
